"0","84","60","502","5043","1987-11-03 22:25:21","False"
"1","10","45","253","995","2011-11-13 00:51:37","True"
"2","14","75","284","2301","2014-04-24 08:02:20","False"
"3","44","5","1549","7741","1988-01-06 00:05:33","True"
"4","46","75","579","351","1980-12-27 11:10:10","False"
"5","61","50","627","8489","1990-04-11 20:45:28","True"
"6","28","73","1703","7580","2020-02-02 07:49:04","False"
"7","63","93","254","1984","2000-09-16 06:02:11","False"
"8","62","41","316","1897","2010-09-25 17:53:34","True"
"9","35","7","202","4889","1999-12-08 23:51:59","False"
"10","36","40","55","14","1974-06-19 05:52:43","False"
"11","53","70","1922","9348","1970-11-24 05:35:01","True"
"12","48","57","1036","9067","1985-07-14 16:37:57","False"
"13","4","51","1566","6673","2021-05-24 01:57:54","True"
"14","27","44","78","6306","2013-10-04 12:23:15","True"
"15","54","34","247","2296","1994-06-24 18:14:34","False"
"16","67","1","432","1914","1973-03-11 20:14:27","False"
"17","14","20","1170","7518","1989-12-12 23:25:15","True"
"18","35","75","753","9374","2000-03-04 21:16:31","False"
"19","91","79","947","4765","2012-05-04 09:14:28","True"
"20","86","51","1807","9393","1979-05-09 10:39:10","True"
"21","75","90","917","8400","2020-10-17 22:05:04","False"
"22","71","32","231","9126","1981-05-24 22:52:05","True"
"23","96","11","1285","7375","1976-04-01 23:11:14","True"
"24","96","68","1618","2186","2002-10-20 15:37:28","False"
"25","30","31","1493","3539","1998-04-20 23:12:49","True"
"26","52","15","341","5769","1994-09-26 19:41:15","True"
"27","5","42","1137","5919","1995-04-10 17:10:04","False"
"28","0","0","117","4745","2015-10-28 02:24:21","True"
"29","97","92","274","7032","2018-12-03 18:50:46","False"
"30","29","56","993","3755","2005-07-27 21:00:07","False"
"31","28","3","864","3910","2008-11-11 10:07:57","True"
"32","48","96","1878","7232","2000-12-14 05:51:55","False"
"33","45","34","1146","4406","1976-11-12 07:59:40","False"
"34","49","68","576","7095","2014-09-09 21:17:49","True"
"35","38","75","1859","6584","1991-05-30 16:47:32","True"
"36","61","99","1465","6327","2002-01-28 23:14:40","True"
"37","58","18","1126","4809","1971-02-25 20:39:52","True"
"38","50","65","1584","7998","2008-12-24 23:17:13","True"
"39","58","65","1460","1060","1981-10-11 00:05:09","True"
"40","8","34","118","4558","1998-10-12 10:38:19","True"
"41","5","0","1357","1985","1987-09-05 16:34:03","True"
"42","27","55","703","8548","1978-06-21 15:04:37","False"
"43","24","56","49","38","2018-09-21 19:50:31","True"
"44","23","76","772","1120","2006-11-10 05:35:07","True"
"45","49","65","1128","2808","1975-12-14 12:42:35","False"
"46","18","56","37","4409","2010-10-10 10:37:04","True"
"47","27","23","611","6628","1994-03-23 06:31:03","False"
"48","82","77","1354","3799","1992-08-04 07:31:35","False"
"49","40","76","1747","8227","2020-12-17 22:06:58","True"
"50","71","90","830","9885","2004-12-06 15:09:26","False"
"51","63","26","1043","6165","1995-07-22 10:08:49","False"
"52","50","67","316","9344","2011-01-07 18:15:42","False"
"53","30","91","1818","6581","2021-02-23 18:49:03","True"
"54","19","32","1045","2516","1981-06-25 16:42:51","False"
"55","69","71","714","9791","1975-09-01 15:07:16","False"
"56","34","44","1661","2401","1981-11-05 21:29:22","True"
"57","82","80","1208","7916","1994-03-12 14:45:16","False"
"58","43","0","109","5169","2015-08-02 07:14:21","False"
"59","64","27","1325","5279","2015-04-13 00:43:15","False"
"60","61","27","1600","1028","1981-09-20 19:11:06","True"
"61","54","0","1867","2895","2000-04-20 05:26:14","True"
"62","54","4","1336","7230","1979-02-06 22:24:41","True"
"63","24","46","270","7904","1994-12-30 08:29:22","False"
"64","74","14","62","2601","1971-05-04 11:42:46","False"
"65","20","23","1128","1931","2021-05-28 06:50:19","False"
"66","71","37","1655","3322","2018-05-05 20:38:27","True"
"67","27","39","360","754","1972-05-07 04:19:25","True"
"68","74","0","1397","736","1990-09-04 17:40:23","False"
"69","72","63","1604","3903","2011-03-11 00:03:36","False"
"70","27","69","638","5887","1978-10-19 04:06:47","False"
"71","30","6","1502","6234","2004-08-23 23:02:15","True"
"72","25","79","1619","2864","1981-07-06 07:48:15","True"
"73","82","69","967","8923","1970-04-22 11:20:53","True"
"74","22","65","346","6675","2020-11-01 09:36:08","True"
"75","79","76","1448","1761","2020-01-27 22:00:07","False"
"76","63","21","192","7959","1985-07-01 20:31:12","False"
"77","98","94","506","3954","2006-04-05 07:52:02","True"
"78","83","24","1678","2452","2004-03-31 20:01:31","True"
"79","1","79","584","3706","1981-01-11 20:12:38","True"
"80","67","46","499","8676","2001-03-31 23:57:32","True"
"81","71","8","1756","4349","1984-06-25 17:19:10","True"
"82","8","63","1651","2458","2015-05-18 22:21:03","False"
"83","13","16","1818","473","2022-02-14 16:14:53","True"
"84","19","68","1746","2773","1987-08-17 14:56:34","False"
"85","96","96","1231","905","1996-11-21 08:23:09","False"
"86","59","9","1244","7342","2011-09-04 05:57:28","True"
"87","31","10","1067","5311","2002-04-26 08:47:17","False"
"88","92","53","1867","7987","1989-02-06 05:49:17","False"
"89","33","69","14","3996","1979-11-15 21:29:44","True"
"90","48","97","1618","9065","2010-11-20 17:39:28","True"
"91","61","23","52","8098","1973-10-22 08:24:38","True"
"92","74","66","1732","5660","1978-09-06 08:40:31","False"
"93","57","81","1547","1283","2009-07-09 11:02:22","True"
"94","78","20","1621","6529","1997-06-12 08:51:43","False"
