"1","614","7221","7.98260448991064"
"1","276","8855","19.181006275844"
"1","1795","5884","28532567849455.9"
"1","661","5864","7450385911.4807"
"1","760","872","472560526623.772"
"1","707","2363","830.537843639518"
"2","1097","9971","4573269.60065135"
"2","353","9423","2616.82535535401"
"2","1380","4159","94843768.3615417"
"2","752","6209","554913049663.206"
"6","360","7568","52037243009.867"
"6","45","5625","4259476.72683491"
"6","195","3611","3120.1165179454"
"6","1021","877","0.84881802195727"
"6","1468","474","7.7384903655019"
"6","603","1152","1216486171.37508"
"6","1004","9800","78789299.8227952"
"6","1072","5615","741811643.885135"
"6","1356","5846","49658823639.802"
"9","977","9700","16130613731.569"
"9","553","8933","4492255193.2844"
"9","195","8607","4755717124.80183"
"9","1677","3824","533.326474873537"
"9","501","2056","20265955416.8626"
"10","606","9928","38201329293976.8"
"10","1857","3868","9161339.33381966"
"10","847","4453","5.82831228347225"
"10","754","9743","15992.9176060627"
"11","65","7387","6740.74911291704"
"11","1612","4191","30883511099610.4"
"11","1542","3155","628330357210.385"
"11","525","6287","462317428.464584"
"13","104","9432","4156.9735911742"
"13","833","5753","4007312.1507719"
"13","1085","3615","66937192056.969"
"17","1885","7459","308.892669160489"
"19","1605","4980","1.15345715091213"
"19","744","4729","34.6835464102702"
"19","1978","7678","3989439155816.4"
"19","615","1392","8368572.53506132"
"19","342","3408","97541.198178395"
"23","1139","4157","3786013.51495361"
"23","507","3709","514224.16369712"
"23","807","6058","56686432697524.0"
"23","1601","6072","78959.650212196"
"24","1950","7814","46672247.589107"
"24","548","9494","794741.201689509"
"24","689","9981","112483674.440497"
"24","380","3891","853502263.52539"
"24","1902","5018","1.85377374053842"
"24","1983","2595","8351.11137468561"
"26","1691","6048","25790049757887.8"
"26","407","8091","9796999.7147857"
"26","1574","6572","3585664846.61336"
"26","606","7912","52790777.655758"
"26","9","870","53196457394217.4"
"30","1089","2324","4683892886906.6"
"30","1938","3193","495.47936525813"
"30","1714","2556","153257205.744904"
"30","1459","4683","2892246678.99297"
"30","1088","8988","0.51123436156745"
"30","1343","7903","6434423.41365525"
"30","332","6605","8444104122.82728"
"30","1860","2049","811553030.831858"
"31","963","2931","492007860.94163"
"31","909","7422","8.4557850242875"
"31","1639","2992","78581.1564565546"
"31","928","9094","57388291947984.7"
"31","1085","245","10.6194534692186"
"32","314","8182","29943.664945325"
"32","812","4703","8586706185560.5"
"32","737","7781","2321.92198456479"
"32","554","9563","76187759732166.8"
"32","821","1615","2309075932.30407"
"32","559","9692","4989711.38210295"
"34","1145","3309","57629834.7017526"
"34","1617","6380","187451554907.2"
"34","1932","5659","2591231.61972532"
"34","660","739","959823002701.291"
"34","1962","8479","282081859856.478"
"34","1104","160","47201745355011.2"
"35","1596","5062","25607677.81317"
"35","628","1334","376079.860517135"
"36","119","2099","59878106.5179275"
"36","1005","6971","86492611628.9816"
"36","295","9161","116711462871.68"
"36","14","3600","762823.855643953"
"36","1614","4794","1.93905011793616"
"36","1884","5886","846349235218.7"
"40","125","6465","72474042498.4468"
"42","1529","6284","740281.596519752"
"42","430","2443","98541358.4866107"
"42","1098","7388","0.81905666821872"
"42","29","4377","842982.744819088"
"43","977","1676","2.32519521807753"
"43","492","3911","397856.877618028"
"43","848","2302","8921.38287197642"
"43","829","7352","427702998.551956"
"43","1808","9632","46665965675.982"
"43","737","3017","137335.296767318"
"43","155","6374","51695.6520829193"
"44","1840","8519","727838.490857331"
"44","1277","8259","34219.7223575181"
"44","1325","5113","398566740114.29"
"44","507","362","849482627.215672"
"44","1143","7352","3034940422503.9"
"44","1374","4088","70542558928584.1"
"47","685","8840","1.66381565799123"
"47","52","2448","1056432099537.9"
"48","1132","158","7.346734003414"
"48","1292","7583","33509046.5285017"
"49","1039","9666","64238295696429.0"
"51","1399","7948","3750459702488.67"
"51","1280","184","7861293058.76587"
"51","664","1046","9.3568533787973"
"51","334","1285","74966416.9013987"
"51","1396","1183","1352936641.92483"
"51","790","8333","84954409571.9891"
"51","1814","8455","704115487.375342"
"51","837","4644","6801.14074441226"
"51","1155","5823","54286280.8929698"
"51","453","9122","502022308.428462"
"52","1613","5794","3.68369550738954"
"52","286","1543","426.883127135778"
"52","1017","5514","8.40514443613358"
"52","5","1835","448188.900548106"
"52","575","2196","31151.8984000535"
"52","1536","650","234.632957174579"
"52","1319","6647","3946.82210470114"
"52","1455","4290","3300.3329494386"
"52","1109","1079","26.4156409326509"
"52","1507","5457","9451636421873.26"
"53","928","2216","812799015286.827"
"54","1317","5363","91784840487.1188"
"54","1411","8887","41.8993975537549"
"54","1419","6270","960654.112149608"
"54","220","9859","30.1877293104336"
